Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Álex Abrines\abrinal01,SG,25,OKC,31,2,588,3.4,9.6,.357,2.5,7.8,.323,0.9,1.8,.500,0.7,0.8,.923,0.3,2.6,2.9,1.2,1.0,0.4,0.9,3.2,10.1
2,Quincy Acy\acyqu01,PF,28,PHO,10,0,123,1.2,5.3,.222,0.6,4.4,.133,0.6,0.9,.667,2.0,2.9,.700,0.9,6.4,7.3,2.3,0.3,1.2,1.2,7.0,5.0
3,Jaylen Adams\adamsja01,PG,22,ATL,34,1,428,3.2,9.3,.345,2.1,6.2,.338,1.1,3.0,.361,0.6,0.8,.778,0.9,4.1,5.0,5.5,1.2,0.4,2.4,3.8,9.1
4,Steven Adams\adamsst01,C,25,OKC,80,80,2669,6.5,10.9,.595,0.0,0.0,.000,6.5,10.9,.596,2.0,3.9,.500,5.3,5.0,10.3,1.7,1.6,1.0,1.8,2.8,14.9
5,Bam Adebayo\adebaba01,C,21,MIA,82,28,1913,5.3,9.1,.576,0.1,0.3,.200,5.2,8.9,.588,3.1,4.3,.735,3.1,8.1,11.2,3.5,1.3,1.2,2.3,3.8,13.7
6,Deng Adel\adelde01,SF,21,CLE,19,3,194,2.0,6.7,.306,1.1,4.3,.261,0.9,2.4,.385,0.7,0.7,1.000,0.6,3.0,3.5,0.9,0.2,0.7,1.1,2.4,5.9
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,4.9,16.4,.300,0.0,6.5,.000,4.9,9.8,.500,1.6,3.3,.500,1.6,4.9,6.5,9.8,3.3,0.0,3.3,6.5,11.5
8,LaMarcus Aldridge\aldrila01,C,33,SAS,81,81,2687,9.2,17.7,.519,0.1,0.6,.238,9.0,17.1,.528,4.7,5.5,.847,3.4,6.6,10.0,2.6,0.6,1.4,1.9,2.4,23.1
9,Rawle Alkins\alkinra01,SG,21,CHI,10,1,120,3.9,11.7,.333,0.9,3.6,.250,3.0,8.1,.370,2.4,3.6,.667,3.3,4.5,7.8,3.9,0.3,0.0,2.4,2.1,11.1
10,Grayson Allen\allengr01,SG,23,UTA,38,2,416,5.8,15.4,.376,2.8,8.6,.323,3.0,6.8,.443,3.9,5.2,.750,0.3,1.7,2.0,2.2,0.5,0.5,2.9,4.1,18.3
11,Jarrett Allen\allenja01,C,20,BRK,80,80,2096,5.8,9.8,.590,0.1,0.8,.133,5.7,9.0,.629,3.4,4.8,.709,3.3,8.3,11.5,1.9,0.7,2.1,1.8,3.2,15.0
12,Kadeem Allen\allenka01,PG,26,NYK,19,1,416,5.6,12.2,.461,1.5,3.1,.472,4.2,9.1,.457,3.6,4.7,.778,0.7,3.7,4.4,6.6,1.4,0.3,2.3,4.0,16.4
13,Al-Farouq Aminu\aminual01,PF,28,POR,81,81,2292,4.0,9.3,.433,1.5,4.4,.343,2.5,4.9,.514,2.4,2.7,.867,1.8,7.8,9.6,1.6,1.1,0.5,1.1,2.2,11.9
14,Justin Anderson\anderju01,SF,25,ATL,48,4,463,5.0,12.2,.408,1.9,6.0,.312,3.1,6.2,.500,2.0,2.7,.743,1.9,4.7,6.5,1.8,1.7,1.0,1.8,3.7,13.8
15,Kyle Anderson\anderky01,SF,25,MEM,43,40,1281,4.2,7.8,.543,0.3,1.0,.265,4.0,6.8,.583,1.0,1.8,.578,1.3,5.7,7.1,3.6,1.5,1.0,1.6,3.1,9.7
16,Ryan Anderson\anderry01,PF,30,TOT,25,8,322,2.3,7.7,.304,1.0,4.5,.225,1.3,3.2,.414,1.3,1.8,.750,2.0,4.0,6.0,2.1,0.4,0.1,1.6,2.8,7.0
17,Ryan Anderson\anderry01,PF,30,PHO,15,8,278,2.5,7.8,.317,0.9,4.4,.206,1.6,3.4,.462,1.4,1.8,.786,1.8,4.0,5.8,2.2,0.4,0.1,1.6,3.0,7.3
18,Ryan Anderson\anderry01,PF,30,MIA,10,0,44,1.6,7.4,.222,1.6,4.9,.333,0.0,2.5,.000,0.8,1.6,.500,3.3,4.1,7.4,1.6,0.8,0.0,1.6,1.6,5.7
19,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0.0,18.0,.000,0.0,0.0,,0.0,18.0,.000,0.0,0.0,,6.0,12.0,18.0,6.0,0.0,6.0,6.0,0.0,0.0
20,Giannis Antetokounmpo\antetgi01,PF,24,MIL,72,72,2358,11.0,19.0,.578,0.8,3.1,.256,10.2,15.9,.641,7.6,10.5,.729,2.4,11.3,13.7,6.5,1.4,1.7,4.1,3.5,30.4
21,Kostas Antetokounmpo\antetko01,PF,21,DAL,2,0,11,0.0,9.8,.000,0.0,0.0,,0.0,9.8,.000,6.5,13.1,.500,0.0,3.3,3.3,0.0,6.5,0.0,3.3,0.0,6.5
22,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,6.0,14.8,.405,2.6,7.8,.328,3.4,7.0,.491,1.8,2.7,.682,1.1,5.5,6.6,0.6,0.5,0.9,1.0,3.9,16.4
